1,N,Unknown,Unknown,,WM
2,N,Unknown,Unknown,,WM
3,N,House,Detached,1970,OM
4,N,House,Semi-Detached,1930,WM
5,N,Unknown,Unknown,1930,WM
6,N,House,Mid Terraced,1910,YH
7,N,Unknown,Unknown,,WM
8,N,Unknown,Unknown,,WM
9,N,Unknown,Unknown,,WM
10,N,Unknown,Unknown,,YH
11,N,Unknown,Unknown,,EM
12,N,Unknown,Unknown,,WM
13,N,Unknown,Unknown,,WM
14,N,Unknown,Unknown,1890,WM
15,N,House,Semi-Detached,1970,EM
16,N,House,Semi-Detached,1985,EA
17,N,House,Mid Terraced,1950,WM
18,N,House,Detached,1980,EM
19,N,House,Mid Terraced,1950,WM
20,N,House,Detached,1900,WM
21,N,House,Detached,1934,OM
22,N,House,Mid Terraced,1900,EM
23,N,Flat,Unknown,1992,SW
24,N,Unknown,Unknown,,WM
25,N,Unknown,Unknown,1998,WM
26,N,House,Mid Terraced,1900,WM
27,N,House,Semi-Detached,1981,OS
28,N,House,Detached,2001,YH
29,N,House,Mid Terraced,1935,LN
30,N,Unknown,Unknown,1970,WM
31,N,House,Detached,2002,OM
32,N,House,Semi-Detached,1972,WM
33,N,Flat,Unknown,1960,WM
34,N,Flat,Unknown,2003,WM
35,N,House,Mid Terraced,1910,EM
36,N,House,Detached,2000,NW
37,N,House,End Terrace,1900,EM
38,N,Unknown,Unknown,9999,LN
39,N,Unknown,Unknown,1596,OM
40,N,Unknown,Unknown,1954,WM
41,N,Unknown,Unknown,1979,SW
42,N,House,Detached,1948,YH
43,N,House,Mid Terraced,1900,SW
44,N,House,Semi-Detached,1994,SW
45,N,House,Semi-Detached,1930,NW
46,N,House,Detached,,LN
47,N,House,Semi-Detached,1965,NT
48,N,House,Mid Terraced,1960,SW
49,N,House,Mid Terraced,1900,WM
50,N,House,Semi-Detached,,SW
51,N,House,Mid Terraced,1955,SW
52,N,House,Detached,2001,SW
53,N,House,Mid Terraced,1980,SW
54,N,House,Detached,1930,OS
55,N,House,Detached,1991,SW
56,N,House,Detached,1908,NT
57,N,Maisonette,Unknown,1800,OS
58,N,Unknown,Unknown,1906,SW
59,N,House,Mid Terraced,1900,OS
60,N,House,Mid Terraced,1862,LN
61,N,House,Mid Terraced,1960,OM
62,N,House,Detached,1930,NW
63,N,House,Mid Terraced,1973,WM
64,N,House,Detached,1850,WM
65,N,House,Semi-Detached,1970,SW
66,N,House,Semi-Detached,,SW
67,N,House,Semi-Detached,2003,WS
68,N,House,Mid Terraced,1983,EM
69,N,House,Detached,1936,OM
70,N,House,Detached,1990,SW
71,N,House,Detached,1980,LN
72,N,House,Detached,1954,SW
73,N,Flat,Unknown,1830,OS
74,N,House,Mid Terraced,1910,OM
75,N,House,Mid Terraced,1965,OS
76,N,House,Semi-Detached,1975,LN
77,N,Flat,Unknown,1990,LN
78,N,House,Mid Terraced,2005,EA
79,N,Bungalow,Detached,1967,WM
80,N,House,Detached,1990,SW
81,N,Flat,Unknown,1890,YH
82,N,House,Detached,1913,EM
83,N,House,Detached,2003,WS
84,N,House,End Terrace,1900,NW
85,N,House,Semi-Detached,1935,NW
86,N,House,Detached,1938,WM
87,N,House,End Terrace,1950,WS
88,N,House,Semi-Detached,1950,SW
89,N,House,End Terrace,1930,SW
90,N,House,Semi-Detached,1965,SW
91,N,House,Mid Terraced,1999,NW
92,N,Maisonette,Unknown,1980,SW
93,N,House,Mid Terraced,1950,YH
94,N,House,Mid Terraced,1930,OM
95,N,House,End Terrace,1850,SW
96,N,House,Semi-Detached,1979,SW
97,N,House,Detached,1700,OS
98,N,House,Detached,1960,OM
99,N,House,Detached,1993,SW
100,N,House,Detached,1880,OM
101,N,House,Semi-Detached,1990,WM
102,N,House,Detached,2006,SW
103,N,House,Semi-Detached,1992,SW
104,N,House,End Terrace,1920,WM
105,N,House,Semi-Detached,1930,EM
106,N,House,Semi-Detached,2005,SW
107,N,House,Semi-Detached,1951,OS
108,N,House,Mid Terraced,1937,YH
109,N,House,Semi-Detached,1930,SW
110,N,House,Semi-Detached,1940,YH
111,N,Flat,Unknown,1940,EM
112,N,House,End Terrace,1970,SW
113,N,House,Detached,1987,WM
114,N,House,Semi-Detached,1890,OS
115,N,House,Mid Terraced,1960,SW
116,N,House,Semi-Detached,1826,SW
117,N,House,Mid Terraced,1900,LN
118,N,Flat,Unknown,1935,SW
119,N,House,End Terrace,1750,SW
120,N,House,Detached,2001,NW
121,N,House,End Terrace,1965,OS
122,N,House,Detached,1930,OM
123,N,Flat,Unknown,1900,LN
124,N,House,Semi-Detached,1945,WS
125,N,House,Mid Terraced,1911,SW
126,N,Flat,Unknown,1900,LN
127,N,House,Semi-Detached,1935,LN
128,N,House,Mid Terraced,1900,LN
129,N,House,End Terrace,1978,SW
130,N,House,Mid Terraced,1900,LN
131,N,House,Detached,1964,YH
132,N,House,Mid Terraced,1970,OS
133,N,House,Mid Terraced,1890,SW
134,N,Flat,Unknown,1900,LN
135,N,House,Semi-Detached,1890,SW
136,N,House,End Terrace,1980,LN
137,N,House,Mid Terraced,1920,SW
138,N,Flat,Unknown,1984,SW
139,N,Flat,Unknown,1989,LN
